"","region","date","temp","rain"
"140","SYU",2008-05-19,18.553,15
"141","SYU",2008-05-20,21.712,4
"142","SYU",2008-05-21,20.619,7
"143","SYU",2008-05-22,22.487,5
"144","SYU",2008-05-23,23.726,1
"145","SYU",2008-05-24,23.849,1
"146","SYU",2008-05-25,23.424,2
"147","SYU",2008-05-26,22.773,5
"148","SYU",2008-05-27,23.777,2
"149","SYU",2008-05-28,25.71,1
"150","SYU",2008-05-29,24.628,3
"151","SYU",2008-05-30,24.074,4
"152","SYU",2008-05-31,21.157,6
"153","SYU",2008-06-01,20.599,5
"154","SYU",2008-06-02,20.265,23
"155","SYU",2008-06-03,19.653,28
"156","SYU",2008-06-04,20.839,1
"157","SYU",2008-06-05,22.123,8
"158","SYU",2008-06-06,22.379,3
"159","SYU",2008-06-07,22.324,5
"160","SYU",2008-06-08,23.158,0
"161","SYU",2008-06-09,23.58,2
"162","SYU",2008-06-10,24.975,0
"163","SYU",2008-06-11,25.154,0
"164","SYU",2008-06-12,21.986,2
"165","SYU",2008-06-13,22.575,4
"166","SYU",2008-06-14,21.492,23
"167","SYU",2008-06-15,22.806,7
"168","SYU",2008-06-16,22.217,10
"169","SYU",2008-06-17,23.391,6
"170","SYU",2008-06-18,24.034,3
"171","SYU",2008-06-19,24.319,3
"172","SYU",2008-06-20,25.203,1
"173","SYU",2008-06-21,25.198,0
"174","SYU",2008-06-22,25.191,0
"175","SYU",2008-06-23,26.213,0
"176","SYU",2008-06-24,25.713,1
"177","SYU",2008-06-25,26.069,1
"178","SYU",2008-06-26,25.891,2
"179","SYU",2008-06-27,24.599,1
"180","SYU",2008-06-28,24.053,1
"181","SYU",2008-06-29,24.451,10
"182","SYU",2008-06-30,23.795,10
"183","SYU",2008-07-01,25.267,1
"184","SYU",2008-07-02,25.619,0
"185","SYU",2008-07-03,25.967,0
"186","SYU",2008-07-04,25.238,2
"187","SYU",2008-07-05,24.909,24
"188","SYU",2008-07-06,23.898,34
"189","SYU",2008-07-07,23.481,22
"190","SYU",2008-07-08,23.512,6
"191","SYU",2008-07-09,22.5940000000001,8
"192","SYU",2008-07-10,23.407,4
"193","SYU",2008-07-11,23.339,5
"194","SYU",2008-07-12,23.903,10
"195","SYU",2008-07-13,24.3200000000001,24
"196","SYU",2008-07-14,24.537,2
"197","SYU",2008-07-15,24.804,5
"198","SYU",2008-07-16,24.6950000000001,21
"199","SYU",2008-07-17,23.248,90
"200","SYU",2008-07-18,21.64,141
"201","SYU",2008-07-19,22.888,3
"202","SYU",2008-07-20,25.058,0
"203","SYU",2008-07-21,25.106,0
"204","SYU",2008-07-22,24.358,0
"205","SYU",2008-07-23,24.555,2
"206","SYU",2008-07-24,25.572,1
"207","SYU",2008-07-25,24.997,2
"208","SYU",2008-07-26,25.725,9
"209","SYU",2008-07-27,24.286,76
"210","SYU",2008-07-28,22.853,161
"211","SYU",2008-07-29,23.034,10
"212","SYU",2008-07-30,23.5940000000001,5
"213","SYU",2008-07-31,23.875,10
"214","SYU",2008-08-01,24.04,3
"215","SYU",2008-08-02,24.396,1
"216","SYU",2008-08-03,24.404,5
"217","SYU",2008-08-04,24.546,7
"218","SYU",2008-08-05,24.319,24
"219","SYU",2008-08-06,23.949,21
"220","SYU",2008-08-07,23.14,17
"221","SYU",2008-08-08,23.591,7
"222","SYU",2008-08-09,23.116,3
"223","SYU",2008-08-10,22.973,5
"224","SYU",2008-08-11,23.903,1
"225","SYU",2008-08-12,24.795,1
"226","SYU",2008-08-13,25.065,5
"227","SYU",2008-08-14,24.865,5
"228","SYU",2008-08-15,23.1950000000001,5
"229","SYU",2008-08-16,24.113,6
"230","SYU",2008-08-17,23.936,1
"231","SYU",2008-08-18,24.575,7
"232","SYU",2008-08-19,24.648,4
"233","SYU",2008-08-20,25.399,1
"234","SYU",2008-08-21,24.788,2
"235","SYU",2008-08-22,24.369,7
"236","SYU",2008-08-23,23.979,1
"237","SYU",2008-08-24,23.777,0
"238","SYU",2008-08-25,24.415,0
"239","SYU",2008-08-26,23.643,0
"240","SYU",2008-08-27,24.199,0
"241","SYU",2008-08-28,24.059,4
"242","SYU",2008-08-29,24.087,4
"243","SYU",2008-08-30,24.28,1
"244","SYU",2008-08-31,23.787,0
"245","SYU",2008-09-01,22.915,3
"246","SYU",2008-09-02,21.202,6
"247","SYU",2008-09-03,22.431,3
"248","SYU",2008-09-04,22.163,5
"249","SYU",2008-09-05,22.188,19
"250","SYU",2008-09-06,22.399,15
"251","SYU",2008-09-07,23.595,2
"252","SYU",2008-09-08,23.938,1
"253","SYU",2008-09-09,23.902,0
"254","SYU",2008-09-10,24.861,0
"255","SYU",2008-09-11,23.81,4
"256","SYU",2008-09-12,22.649,70
"257","SYU",2008-09-13,22.254,210
"258","SYU",2008-09-14,20.754,275
"259","SYU",2008-09-15,22.053,32
"260","SYU",2008-09-16,23.142,1
"261","SYU",2008-09-17,23.971,1
"262","SYU",2008-09-18,24.077,4
"263","SYU",2008-09-19,24.018,9
"264","SYU",2008-09-20,24.504,2
"265","SYU",2008-09-21,24.565,1
"266","SYU",2008-09-22,25.968,1
"267","SYU",2008-09-23,25.377,3
"268","SYU",2008-09-24,25.093,5
"269","SYU",2008-09-25,24.22,27
"270","SYU",2008-09-26,24.016,1
"271","SYU",2008-09-27,22.4,33
"272","SYU",2008-09-28,21.274,191
"273","SYU",2008-09-29,19.385,69
"274","SYU",2008-09-30,21.783,1
"275","SYU",2008-10-01,22.072,0
"276","SYU",2008-10-02,21.899,1
"277","SYU",2008-10-03,22.8320000000001,1
"278","SYU",2008-10-04,22.692,2
"279","SYU",2008-10-05,22.776,4
"280","SYU",2008-10-06,20.616,15
"281","SYU",2008-10-07,19.801,9
"282","SYU",2008-10-08,22.016,1
"283","SYU",2008-10-09,22.184,0
"284","SYU",2008-10-10,23.192,0
"285","SYU",2008-10-11,22.478,0
"286","SYU",2008-10-12,21.152,0
"287","SYU",2008-10-13,21.936,0
"288","SYU",2008-10-14,22.204,0
"289","SYU",2008-10-15,23.126,0
"290","SYU",2008-10-16,23.238,21
"291","SYU",2008-10-17,22.465,5
"292","SYU",2008-10-18,22.204,6
"293","SYU",2008-10-19,22.44,1
"294","SYU",2008-10-20,22.311,2
"295","SYU",2008-10-21,22.254,0
"296","SYU",2008-10-22,22.136,1
"297","SYU",2008-10-23,22.71,0
"298","SYU",2008-10-24,22.5,0
"299","SYU",2008-10-25,22.879,1
"300","SYU",2008-10-26,22.43,0
"301","SYU",2008-10-27,21.534,0
"302","SYU",2008-10-28,21.886,0
"303","SYU",2008-10-29,22.693,0
"304","SYU",2008-10-30,23.026,0
"305","SYU",2008-10-31,22.728,1
"306","SYU",2008-11-01,22.053,1
"307","SYU",2008-11-02,22.13,0
"308","SYU",2008-11-03,20.58,1
"309","SYU",2008-11-04,21.624,0
"310","SYU",2008-11-05,22.662,0
"311","SYU",2008-11-06,22.323,0
"312","SYU",2008-11-07,22.59,1
"313","SYU",2008-11-08,18.566,31
"314","SYU",2008-11-09,14.597,23
"315","SYU",2008-11-10,14.334,1
"316","SYU",2008-11-11,14.846,1
"317","SYU",2008-11-12,17.203,0
"318","SYU",2008-11-13,18.042,0
"319","SYU",2008-11-14,19.201,0
"320","SYU",2008-11-15,20.121,0
"321","SYU",2008-11-16,18.743,1
"322","SYU",2008-11-17,17.8200000000001,0
"323","SYU",2008-11-18,15.394,0
"324","SYU",2008-11-19,12.577,0
"325","SYU",2008-11-20,13.619,0
"326","SYU",2008-11-21,16.011,0
"327","SYU",2008-11-22,19.281,0
"328","SYU",2008-11-23,19.181,0
"329","SYU",2008-11-24,17.4450000000001,0
"330","SYU",2008-11-25,17.274,0
"331","SYU",2008-11-26,17.756,2
"332","SYU",2008-11-27,12.8,0
"333","SYU",2008-11-28,11.429,0
"334","SYU",2008-11-29,12.869,0
"335","SYU",2008-11-30,13.681,0
"336","SYU",2008-12-01,14.399,0
"337","SYU",2008-12-02,15.262,0
"338","SYU",2008-12-03,16.51,0
"339","SYU",2008-12-04,15.724,0
"340","SYU",2008-12-05,10.902,0
"341","SYU",2008-12-06,9.24900000000002,0
"342","SYU",2008-12-07,12.92,0
"343","SYU",2008-12-08,13.816,0
"344","SYU",2008-12-09,13.706,0
"345","SYU",2008-12-10,16.169,0
"346","SYU",2008-12-11,16.015,0
"347","SYU",2008-12-12,16.891,0
"348","SYU",2008-12-13,15.636,0
"349","SYU",2008-12-14,11.796,0
"350","SYU",2008-12-15,11.468,0
"351","SYU",2008-12-16,13.521,0
"352","SYU",2008-12-17,14.295,0
"353","SYU",2008-12-18,14.544,0
"354","SYU",2008-12-19,14.317,0
"355","SYU",2008-12-20,15.125,0
"356","SYU",2008-12-21,15.967,0
"357","SYU",2008-12-22,10.9450000000001,0
"358","SYU",2008-12-23,13.71,0
"359","SYU",2008-12-24,15.973,0
"360","SYU",2008-12-25,14.845,0
"361","SYU",2008-12-26,14.377,0
"362","SYU",2008-12-27,16.783,0
"363","SYU",2008-12-28,16.685,1
"364","SYU",2008-12-29,15.31,8
"365","SYU",2008-12-30,12.498,10
"366","SYU",2008-12-31,9.87600000000003,1
"367","SYU",2009-01-01,8.84800000000001,0
"368","SYU",2009-01-02,9.77200000000005,0
"369","SYU",2009-01-03,12.659,0
"370","SYU",2009-01-04,12.808,1
"371","SYU",2009-01-05,14.384,1
"372","SYU",2009-01-06,14.092,0
"373","SYU",2009-01-07,13.552,0
"374","SYU",2009-01-08,11.776,0
"375","SYU",2009-01-09,7.46700000000004,0
"376","SYU",2009-01-10,6.24700000000001,0
"377","SYU",2009-01-11,9.46200000000005,0
"378","SYU",2009-01-12,8.31400000000002,0
"379","SYU",2009-01-13,5.89800000000002,0
"380","SYU",2009-01-14,8.572,0
"381","SYU",2009-01-15,9.64600000000002,0
"382","SYU",2009-01-16,12.118,0
"383","SYU",2009-01-17,12.669,0
"384","SYU",2009-01-18,14.265,0
"385","SYU",2009-01-19,15.154,0
"386","SYU",2009-01-20,16.039,0
"387","SYU",2009-01-21,15.15,0
"388","SYU",2009-01-22,13.973,0
"389","SYU",2009-01-23,9.00900000000001,1
"390","SYU",2009-01-24,7.154,1
"391","SYU",2009-01-25,10.818,0
"392","SYU",2009-01-26,11.135,1
"393","SYU",2009-01-27,12.785,0
"394","SYU",2009-01-28,14.811,0
"395","SYU",2009-01-29,14.747,0
"396","SYU",2009-01-30,12.438,1
"397","SYU",2009-01-31,15.278,0
"398","SYU",2009-02-01,15.123,0
"399","SYU",2009-02-02,14.359,0
"400","SYU",2009-02-03,15.302,0
"401","SYU",2009-02-04,15.879,0
"402","SYU",2009-02-05,15.575,0
"403","SYU",2009-02-06,15.31,0
"404","SYU",2009-02-07,16.401,0
"405","SYU",2009-02-08,16.388,0
"406","SYU",2009-02-09,16.701,0
"407","SYU",2009-02-10,15.059,0
"408","SYU",2009-02-11,16.52,0
"409","SYU",2009-02-12,18.303,0
"410","SYU",2009-02-13,22.038,0
"411","SYU",2009-02-14,19.243,1
"412","SYU",2009-02-15,18.935,1
"413","SYU",2009-02-16,16.7190000000001,0
"414","SYU",2009-02-17,17.103,0
"415","SYU",2009-02-18,18.162,1
"416","SYU",2009-02-19,19.054,13
"417","SYU",2009-02-20,15.317,0
"418","SYU",2009-02-21,17.08,0
"419","SYU",2009-02-22,20.904,0
"420","SYU",2009-02-23,20.682,0
"421","SYU",2009-02-24,21.112,0
"422","SYU",2009-02-25,20.793,0
"423","SYU",2009-02-26,18.349,0
"424","SYU",2009-02-27,18.42,0
"425","SYU",2009-02-28,17.955,0
"426","SYU",2009-03-01,16.204,0
"427","SYU",2009-03-02,15.658,0
"428","SYU",2009-03-03,15.947,0
"429","SYU",2009-03-04,17.884,1
"430","SYU",2009-03-05,18.186,9
"431","SYU",2009-03-06,13.322,66
"432","SYU",2009-03-07,13.273,19
"433","SYU",2009-03-08,15.476,16
"434","SYU",2009-03-09,12.682,6
"435","SYU",2009-03-10,16.227,1
"436","SYU",2009-03-11,15.193,1
"437","SYU",2009-03-12,17.466,0
"438","SYU",2009-03-13,15.573,3
"439","SYU",2009-03-14,11.064,1
"440","SYU",2009-03-15,15.455,0
"441","SYU",2009-03-16,16.398,0
"442","SYU",2009-03-17,17.13,0
"443","SYU",2009-03-18,19.981,0
"444","SYU",2009-03-19,21.087,0
"445","SYU",2009-03-20,20.966,0
"446","SYU",2009-03-21,21.176,0
"447","SYU",2009-03-22,20.8320000000001,0
"448","SYU",2009-03-23,17.843,8
"449","SYU",2009-03-24,15.182,9
"450","SYU",2009-03-25,16.113,0
"451","SYU",2009-03-26,18.137,1
"452","SYU",2009-03-27,18.279,2
"453","SYU",2009-03-28,16.849,13
"454","SYU",2009-03-29,14.552,3
"455","SYU",2009-03-30,14.951,0
"456","SYU",2009-03-31,15.425,0
"457","SYU",2009-04-01,14.751,1
"458","SYU",2009-04-02,16.079,0
"459","SYU",2009-04-03,17.66,1
"460","SYU",2009-04-04,19.089,2
"461","SYU",2009-04-05,16.405,5
"462","SYU",2009-04-06,15.119,3
"463","SYU",2009-04-07,16.013,11
"464","SYU",2009-04-08,15.734,0
"465","SYU",2009-04-09,16.295,1
"466","SYU",2009-04-10,17.787,1
"467","SYU",2009-04-11,19.605,0
"468","SYU",2009-04-12,20.978,1
"469","SYU",2009-04-13,20.871,4
"470","SYU",2009-04-14,18.679,3
"471","SYU",2009-04-15,19.901,2
"472","SYU",2009-04-16,17.916,21
"473","SYU",2009-04-17,18.635,5
"474","SYU",2009-04-18,20.635,1
"475","SYU",2009-04-19,21.971,3
"476","SYU",2009-04-20,21.536,12
"477","SYU",2009-04-21,20.932,37
"478","SYU",2009-04-22,18.99,16
"479","SYU",2009-04-23,21.284,1
"480","SYU",2009-04-24,21.905,0
"481","SYU",2009-04-25,17.848,8
"482","SYU",2009-04-26,15.613,8
"483","SYU",2009-04-27,16.234,2
"484","SYU",2009-04-28,18.111,2
"485","SYU",2009-04-29,18.528,1
"486","SYU",2009-04-30,19.539,0
"487","SYU",2009-05-01,19.938,0
"488","SYU",2009-05-02,20.479,1
"489","SYU",2009-05-03,19.759,3
"490","SYU",2009-05-04,18.888,1
"491","SYU",2009-05-05,19.125,0
"492","SYU",2009-05-06,18.982,0
"493","SYU",2009-05-07,20.0820000000001,0
"494","SYU",2009-05-08,20.274,0
"495","SYU",2009-05-09,20.846,0
"496","SYU",2009-05-10,21.913,0
"497","SYU",2009-05-11,22.331,0
"498","SYU",2009-05-12,23.099,0
"499","SYU",2009-05-13,22.526,0
"500","SYU",2009-05-14,23.423,1
"501","SYU",2009-05-15,23.538,0
"502","SYU",2009-05-16,24.478,0
"503","SYU",2009-05-17,23.194,1
"504","SYU",2009-05-18,21.984,2
"505","SYU",2009-05-19,21.417,1
"506","SYU",2009-05-20,23.606,1
"507","SYU",2009-05-21,24.254,0
"508","SYU",2009-05-22,23.735,2
"509","SYU",2009-05-23,23.61,2
"510","SYU",2009-05-24,22.408,5
"511","SYU",2009-05-25,23.662,1
"512","SYU",2009-05-26,21.267,11
"513","SYU",2009-05-27,19.7190000000001,4
"514","SYU",2009-05-28,20.247,1
"515","SYU",2009-05-29,20.748,0
"516","SYU",2009-05-30,21.202,0
"517","SYU",2009-05-31,22.837,0
"518","SYU",2009-06-01,21.88,2
"519","SYU",2009-06-02,23.753,1
"520","SYU",2009-06-03,24.29,1
"521","SYU",2009-06-04,20.906,14
"522","SYU",2009-06-05,21.645,0
"523","SYU",2009-06-06,22.795,0
"524","SYU",2009-06-07,22.793,1
"525","SYU",2009-06-08,23.342,1
"526","SYU",2009-06-09,24.879,0
"527","SYU",2009-06-10,25.686,0
"528","SYU",2009-06-11,23.132,3
"529","SYU",2009-06-12,24.054,2
"530","SYU",2009-06-13,23.02,7
"531","SYU",2009-06-14,21.588,4
"532","SYU",2009-06-15,23.026,3
"533","SYU",2009-06-16,24.197,4
"534","SYU",2009-06-17,25.313,5
"535","SYU",2009-06-18,24.353,13
"536","SYU",2009-06-19,24.247,6
"537","SYU",2009-06-20,24.313,53
"538","SYU",2009-06-21,24.658,9
"539","SYU",2009-06-22,24.326,10
"540","SYU",2009-06-23,24.188,1
"541","SYU",2009-06-24,23.422,1
"542","SYU",2009-06-25,23.536,2
"543","SYU",2009-06-26,24.062,6
"544","SYU",2009-06-27,24.25,9
"545","SYU",2009-06-28,24.898,0
"546","SYU",2009-06-29,25.11,0
"547","SYU",2009-06-30,25.428,0
"548","SYU",2009-07-01,25.253,0
"549","SYU",2009-07-02,24.071,0
"550","SYU",2009-07-03,22.466,4
"551","SYU",2009-07-04,23.738,1
"552","SYU",2009-07-05,23.966,4
"553","SYU",2009-07-06,23.633,10
"554","SYU",2009-07-07,24.522,3
"555","SYU",2009-07-08,24.868,1
"556","SYU",2009-07-09,25.568,1
"557","SYU",2009-07-10,26.0820000000001,19
"558","SYU",2009-07-11,25.135,7
"559","SYU",2009-07-12,25.387,5
"560","SYU",2009-07-13,23.947,66
"561","SYU",2009-07-14,23.833,20
"562","SYU",2009-07-15,24.821,1
"563","SYU",2009-07-16,25.28,1
"564","SYU",2009-07-17,26.352,1
"565","SYU",2009-07-18,24.926,10
"566","SYU",2009-07-19,24.769,4
"567","SYU",2009-07-20,24.887,5
"568","SYU",2009-07-21,25.403,1
"569","SYU",2009-07-22,25.131,0
"570","SYU",2009-07-23,25.3,1
"571","SYU",2009-07-24,24.343,1
"572","SYU",2009-07-25,23.275,2
"573","SYU",2009-07-26,23.85,1
"574","SYU",2009-07-27,24.488,2
"575","SYU",2009-07-28,24.282,2
"576","SYU",2009-07-29,24.996,5
"577","SYU",2009-07-30,25.091,3
"578","SYU",2009-07-31,25.765,7
"579","SYU",2009-08-01,26.573,1
"580","SYU",2009-08-02,27.531,10
"581","SYU",2009-08-03,24.468,47
"582","SYU",2009-08-04,23.687,12
"583","SYU",2009-08-05,23.511,33
"584","SYU",2009-08-06,23.4690000000001,110
"585","SYU",2009-08-07,23.398,54
"586","SYU",2009-08-08,23.608,111
"587","SYU",2009-08-09,22.378,83
"588","SYU",2009-08-10,24.315,10
"589","SYU",2009-08-11,25.043,4
"590","SYU",2009-08-12,23.647,4
"591","SYU",2009-08-13,23.9570000000001,12
"592","SYU",2009-08-14,24.535,9
"593","SYU",2009-08-15,23.948,11
"594","SYU",2009-08-16,23.834,21
"595","SYU",2009-08-17,24.281,6
"596","SYU",2009-08-18,23.727,5
"597","SYU",2009-08-19,24.277,2
"598","SYU",2009-08-20,23.89,0
"599","SYU",2009-08-21,24.298,1
"600","SYU",2009-08-22,24.356,2
"601","SYU",2009-08-23,25.285,10
"602","SYU",2009-08-24,25.03,5
"603","SYU",2009-08-25,25.266,2
"604","SYU",2009-08-26,24.847,4
"605","SYU",2009-08-27,24.763,2
"606","SYU",2009-08-28,24.741,4
"607","SYU",2009-08-29,25.199,4
"608","SYU",2009-08-30,25.134,1
"609","SYU",2009-08-31,25.046,4
"610","SYU",2009-09-01,25.076,0
"611","SYU",2009-09-02,25.413,0
"612","SYU",2009-09-03,25.286,1
"613","SYU",2009-09-04,24.349,2
"614","SYU",2009-09-05,24.916,0
"615","SYU",2009-09-06,23.988,0
"616","SYU",2009-09-07,24.024,0
"617","SYU",2009-09-08,24.711,0
"618","SYU",2009-09-09,24.912,0
"619","SYU",2009-09-10,24.776,1
"620","SYU",2009-09-11,24.697,10
"621","SYU",2009-09-12,25.533,4
"622","SYU",2009-09-13,25.941,32
"623","SYU",2009-09-14,24.607,2
"624","SYU",2009-09-15,24.101,8
"625","SYU",2009-09-16,24.595,4
"626","SYU",2009-09-17,24.434,1
"627","SYU",2009-09-18,24.741,1
"628","SYU",2009-09-19,24.084,1
"629","SYU",2009-09-20,23.686,0
"630","SYU",2009-09-21,24.254,0
"631","SYU",2009-09-22,24.361,4
"632","SYU",2009-09-23,24.993,1
"633","SYU",2009-09-24,24.358,2
"634","SYU",2009-09-25,23.898,1
"635","SYU",2009-09-26,25.349,2
"636","SYU",2009-09-27,23.905,6
"637","SYU",2009-09-28,23.825,54
"638","SYU",2009-09-29,22.992,93
"639","SYU",2009-09-30,22.523,16
"640","SYU",2009-10-01,23.181,18
"641","SYU",2009-10-02,23.311,9
"642","SYU",2009-10-03,23.138,0
"643","SYU",2009-10-04,23.321,1
"644","SYU",2009-10-05,21.841,24
"645","SYU",2009-10-06,20.689,5
"646","SYU",2009-10-07,20.418,0
"647","SYU",2009-10-08,20.749,1
"648","SYU",2009-10-09,21.773,1
"649","SYU",2009-10-10,21.441,22
"650","SYU",2009-10-11,20.776,22
"651","SYU",2009-10-12,21.95,1
"652","SYU",2009-10-13,21.735,3
"653","SYU",2009-10-14,21.262,1
"654","SYU",2009-10-15,21.345,1
"655","SYU",2009-10-16,21.281,1
"656","SYU",2009-10-17,21.065,0
"657","SYU",2009-10-18,21.815,0
"658","SYU",2009-10-19,20.895,0
"659","SYU",2009-10-20,20.311,0
"660","SYU",2009-10-21,20.691,0
"661","SYU",2009-10-22,20.562,0
"662","SYU",2009-10-23,19.637,2
"663","SYU",2009-10-24,19.116,3
"664","SYU",2009-10-25,18.892,0
"665","SYU",2009-10-26,18.129,0
"666","SYU",2009-10-27,19.203,0
"667","SYU",2009-10-28,19.566,0
"668","SYU",2009-10-29,20.054,2
"669","SYU",2009-10-30,20.078,1
"670","SYU",2009-10-31,22.127,0
"671","SYU",2009-11-01,19.022,0
"672","SYU",2009-11-02,14.229,0
"673","SYU",2009-11-03,14.747,0
"674","SYU",2009-11-04,18.606,0
"675","SYU",2009-11-05,20.304,0
"676","SYU",2009-11-06,21.019,0
"677","SYU",2009-11-07,21.427,1
"678","SYU",2009-11-08,21.692,0
"679","SYU",2009-11-09,20.616,1
"680","SYU",2009-11-10,19.779,0
"681","SYU",2009-11-11,19.143,0
"682","SYU",2009-11-12,19.349,8
"683","SYU",2009-11-13,16.132,30
"684","SYU",2009-11-14,16.399,4
"685","SYU",2009-11-15,17.568,0
"686","SYU",2009-11-16,17.662,2
"687","SYU",2009-11-17,13.683,5
"688","SYU",2009-11-18,14.766,2
"689","SYU",2009-11-19,16.704,0
"690","SYU",2009-11-20,15.508,0
